ibi_cmec,ibi_cm
1.6498,1.6537
1.6531000000000002,1.6522000000000001
1.6512000000000002,1.6512000000000002
1.6545999999999994,1.6570999999999998
1.6556999999999995,1.6534000000000004
1.6563000000000017,1.6597999999999988
1.657399999999999,1.6561000000000003
1.657,1.6567000000000007
1.6598000000000006,1.6576999999999984
1.6583999999999985,1.6600000000000001
1.6587999999999994,1.6606000000000023
1.6621000000000024,1.6642999999999972
1.663499999999999,1.6578000000000017
1.6622999999999983,1.6682999999999986
1.664200000000001,1.664200000000001
1.6659000000000006,1.6651999999999987
1.6649999999999991,1.6640000000000015
1.6664999999999992,1.6686000000000014
1.6683000000000021,1.6706999999999965
1.6674000000000007,1.6672000000000011
1.668999999999997,1.6720000000000041
1.6702000000000012,1.6642999999999972
1.6706000000000003,1.6739999999999995
1.6707000000000036,1.6707999999999998
1.671999999999997,1.6732999999999976
1.6741000000000028,1.6735000000000042
1.6747999999999976,1.6766999999999967
1.674199999999999,1.6753
1.676000000000002,1.6763000000000048
1.6774999999999949,1.6761999999999944
1.6785000000000068,1.680500000000002
1.678999999999995,1.678600000000003
1.679700000000004,1.6785999999999959
1.6809000000000012,1.6792000000000016
1.6801999999999992,1.6828999999999965
1.6828000000000003,1.680100000000003
1.6824999999999974,1.686399999999999
1.6839000000000013,1.6844999999999999
1.6855999999999938,1.6860999999999962
1.6861000000000104,1.6876000000000033
1.6868999999999943,1.686000000000007
1.6873999999999967,1.6873999999999967
1.6880000000000024,1.6921999999999997
1.6890000000000072,1.689700000000002
1.6912999999999982,1.6903999999999968
1.6929999999999978,1.690100000000001
1.6914000000000016,1.6928000000000054
1.6927999999999912,1.695299999999989
1.6953000000000031,1.6938000000000102
1.693799999999996,1.6993999999999971
